-0.049	-0.134	0.188
0.099	-0.123	-0.207
0.15	-0.06	-0.077
-0.09	0.03	-0.021
0.105	0.124	0.103
0.089	0.02	-0.137
0.092	0.052	0.165
0.127	-0.08	-0.01
-0.041	-0.096	-0.075
0.082	-0.058	0.061
0.063	-0.027	-0.123
-0.04	0.047	-0.001
0.195	0.038	0.001
-0.095	0.049	-0.068
0.071	-0.156	0.03
0.069	-0.042	0.042
0.123	-0.036	0.067
-0.133	-0.154	0.109
0.037	-0.054	-0.027
0.108	-0.019	-0.135
-0.068	-0.07	0.108
-0.025	-0.05	-0.046
0.097	-0.037	-0.114
0.127	0.03	0.109
0.035	-0.021	-0.029
-0.031	-0.047	-0.141
0.074	-0.02	0.016
0.099	0.052	0.096
0.022	0.0	-0.026
0.113	0.071	0.096
0.195	-0.095	0.025
-0.074	0.038	0.05
0.082	0.099	0.057
0.003	-0.049	0.036
0.196	-0.068	0.05
-0.053	0.0	0.071
0.102	0.105	0.116
0.086	-0.003	-0.056
0.07	-0.012	0.095
-0.104	-0.138	-0.061
0.035	-0.053	0.012
0.088	0.018	-0.001
0.122	-0.077	-0.086
0.204	0.061	0.109
0.007	0.001	-0.082
0.303	-0.02	0.008
0.195	-0.067	-0.207
-0.001	-0.01	0.042
0.192	0.032	0.029
0.101	0.014	0.167
0.084	0.006	-0.04
0.073	0.08	0.03
0.069	-0.015	0.044
0.172	-0.042	0.01
-0.064	0.092	-0.005
0.059	0.089	0.139
0.146	-0.012	0.0
0.187	0.026	0.073
0.256	-0.155	-0.054
0.113	-0.077	0.134
0.198	-0.11	0.084
-0.003	0.054	-0.201
-0.012	0.057	-0.028
0.001	-0.092	-0.047
0.093	0.101	-0.001
0.021	-0.134	0.089
0.092	-0.036	-0.169
0.115	0.077	-0.125
0.052	0.056	0.084
0.189	0.003	-0.013
-0.037	0.032	0.046
0.047	-0.068	0.037
0.039	-0.059	-0.033
0.11	-0.101	-0.225
0.083	-0.054	0.07
0.188	-0.015	0.091
-0.029	0.003	0.012
0.084	-0.104	-0.125
0.105	-0.0	-0.006
0.268	-0.051	-0.129
0.133	0.044	0.082
0.195	-0.051	0.057
0.03	-0.03	-0.124
0.07	0.071	-0.041
-0.092	0.0	0.032
0.119	-0.034	-0.199
0.083	-0.071	-0.0
0.184	-0.033	0.171
0.083	-0.033	0.077
0.149	-0.042	0.013
0.117	-0.124	-0.223
0.115	0.063	0.038
0.028	0.084	0.075
-0.013	0.061	0.022
0.018	0.053	0.099
-0.011	-0.022	0.129
0.057	-0.155	-0.022
0.158	0.131	-0.11
